uuid,id,name,modificationDate,cooperative,highestWins,noPoints,usesTeams,urlThumb,urlImage,bggName,bggYear,bggId,designers
c533e469-f832-4b4e-a619-515c653d54eb,15,Power Grid,6/26/2017 6:50,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic173153_md.jpg,https://cf.geekdo-images.com/images/pic173153_md.jpg,Power Grid,2004,2651,Friedemann Friese
fda86e63-5682-4bab-b0b9-3df72d835164,36,Presidents I Card Game,6/26/2017 6:58,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic234741_md.jpg,https://cf.geekdo-images.com/images/pic234741_md.jpg,Presidents I Card Game,2003,31156,(Uncredited)
0c026496-ad50-4cce-b278-2532e36c459a,16,Puerto Rico,6/26/2017 6:50,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic158548_md.jpg,https://cf.geekdo-images.com/images/pic158548_md.jpg,Puerto Rico,2002,3076,Andreas Seyfarth
c1c28c26-b05e-4948-bc67-9b7b87881c18,18,Risk Legacy,6/26/2017 6:51,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic1196938.jpg,https://cf.geekdo-images.com/images/pic1196938.jpg,Risk Legacy,2011,105134,"Rob Daviau, Chris Dupuis"
501995be-84b5-4cbf-875f-e046a82f75ed,33,Rummy,6/26/2017 6:57,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic1287045_md.jpg,https://cf.geekdo-images.com/images/pic1287045_md.jpg,Rummy,1887,15878,(Uncredited)
9624660b-9444-42d3-8b0e-67834b18977d,26,Saboteur,6/26/2017 6:54,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic2602139_md.jpg,https://cf.geekdo-images.com/images/pic2602139_md.jpg,Saboteur,2004,9220,Fréderic Moyersoen
4738bac4-0736-42e8-bffc-841b752d70be,23,Santorini,6/26/2017 6:53,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic3283110_md.png,https://cf.geekdo-images.com/images/pic3283110_md.png,Santorini,2016,194655,Gord!
b91f0f1a-93cb-49c6-9f22-f22f47ae5e2a,8,Secret Hitler,6/26/2017 6:46,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic2771488_md.png,https://cf.geekdo-images.com/images/pic2771488_md.png,Secret Hitler,2016,188834,"Mike Boxleiter, Tommy Maranges, Max Temkin"
fae1adbb-40c6-4dfc-a866-40705ac2895a,32,Sheriff of Nottingham,6/26/2017 6:57,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic2075830_md.jpg,https://cf.geekdo-images.com/images/pic2075830_md.jpg,Sheriff of Nottingham,2014,157969,"Sérgio Halaban, André Zatz"
74777cd5-cf12-4d73-a553-91848cf88fdf,45,Sleeping Queens,8/26/2017 21:26,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic2401336_md.jpg,https://cf.geekdo-images.com/images/pic2401336_md.jpg,Sleeping Queens,2005,17053,Miranda Evarts
14a474d2-ec68-4116-a67e-0859f8fe613b,24,Splendor,6/26/2017 6:53,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic1904079_md.jpg,https://cf.geekdo-images.com/images/pic1904079_md.jpg,Splendor,2014,148228,Marc André
36b2979f-c52e-42e9-a600-d95cf025b917,37,Spyfall,6/26/2017 6:59,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic2453926_md.jpg,https://cf.geekdo-images.com/images/pic2453926_md.jpg,Spyfall,2014,166384,Alexandr Ushan
a82d78c1-8bec-46ee-8f70-3df66f56bb3b,25,The Castles of Burgundy,6/26/2017 6:54,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic1176894.jpg,https://cf.geekdo-images.com/images/pic1176894.jpg,The Castles of Burgundy,2011,84876,Stefan Feld
0e0e2165-8fe8-4beb-8504-431858bf7ffa,1,The Resistance: Avalon,6/26/2017 6:45,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic1398895_md.jpg,https://cf.geekdo-images.com/images/pic1398895_md.jpg,The Resistance: Avalon,2012,128882,Don Eskridge
5d55a7ec-41e7-4bc4-ad37-61529c1593fd,21,Tichu,7/11/2017 21:06,FALSE,TRUE,FALSE,TRUE,https://cf.geekdo-images.com/images/pic169494_md.jpg,https://cf.geekdo-images.com/images/pic169494_md.jpg,Tichu,1991,215,Urs Hostettler
277ccc95-1d64-449a-ae96-4d864bc0a705,17,Ticket to Ride: Europe,6/26/2017 6:50,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic66668_md.jpg,https://cf.geekdo-images.com/images/pic66668_md.jpg,Ticket to Ride: Europe,2005,14996,Alan R. Moon
debd1055-184c-4b18-bb9b-d122bf279378,19,Tigris & Euphrates,6/26/2017 6:51,FALSE,TRUE,FALSE,FALSE,https://cf.geekdo-images.com/images/pic2338267_md.jpg,https://cf.geekdo-images.com/images/pic2338267_md.jpg,Tigris & Euphrates,1997,42,Reiner Knizia
a3f20ba6-31e8-4faf-9b4e-8b6575a9d398,20,Trivia Murder Party,6/26/2017 6:52,FALSE,TRUE,FALSE,FALSE,,,,0,0,
